Name,p/s,m/s,TotalPlayouts
Connect Four,27135.77230613531,578299.1431405045,814074
Connect6,351.5144009434557,65382.04522240201,10546
Dai Hasami Shogi,361.24819399943436,77561.90048717732,10838
English Draughts,2541.383126910293,245843.06776592543,76242
Gomoku,7463.835728818776,840933.2809701859,223916
Havannah,2161.1165032063413,260376.6722645894,64834
Hex,5293.091070026056,568829.2736614657,158793
HopThrough,1606.4463178647065,182848.41719852763,48194
Pente,399.0842402697742,61870.1567640081,11973
Reversi,960.4414615452737,63786.22604106035,28814
Tic-Tac-Toe,117807.9548505288,928468.7068745887,3534239
Yavalath,38255.3852091929,750414.1098648913,1147662
Yavalax,822.6539934076802,100146.29054634536,24680
Wolf and Sheep,9347.155539319961,829260.7888714649,280416
