Name,p/s,m/s,TotalPlayouts
Wolf and Sheep,88348.06569998572,7850489.418463338,2650450
Havannah,24090.001197615107,2901297.6425579675,722707
Hex,89997.43122722699,9675954.77082932,2699929
Connect Four,237868.1236729002,5069598.364915403,7136050
Connect6,1482.7125235638186,275802.89414033294,44486
Dai Hasami Shogi,2556.4082033160375,549371.1896536375,76700
Gomoku,67405.202598612,7589741.5594754545,2022161
Pente,1707.920670983184,264869.66130489967,51241
Tic-Tac-Toe,633727.0014785092,4993419.02772342,19011814
Yavalath,297871.4552629509,5844978.78506665,8936150
Yavalax,4078.867124629001,497116.64725009364,122372
Reversi,11010.93199243197,731242.6877675387,330337
English Draughts,16390.689153178264,1587950.910181215,491728
HopThrough,12070.890047614464,1371569.5105724153,362133
