Name,p/s,m/s,TotalPlayouts
Connect Four,50407.941251932934,1074237.0214336847,1512249
Connect6,1049.5445009563102,195279.22624589514,31495
Dai Hasami Shogi,2062.937824562832,369229.0121877461,61902
English Draughts,18922.141160211835,1378321.77730925,567678
Gomoku,3044.183100116101,343287.84579007555,91337
Havannah,2678.2302911229267,322929.4796646043,80355
HopThrough,9023.774681585059,737687.8137821001,270724
Hex,4306.875762625196,463135.84669836255,129219
Pente,1238.3060845797231,189481.2922000408,37159
Reversi,8518.035766581255,531643.5001193732,255552
Tic-Tac-Toe,469563.74642734474,3700363.7256529317,14086926
Wolf and Sheep,31253.046844786957,2621847.1843874645,937605
Yavalath,38946.4133824308,764995.5368501528,1168401
Yavalax,190.39392607398827,23189.254695446725,5721
