Name,p/s,m/s,TotalPlayouts
Connect Four,199867.9577658877,4260911.737369726,5996049
Connect6,1433.7617148291624,266447.4562849035,43021
Dai Hasami Shogi,2504.5469514698134,537945.7028764081,75147
English Draughts,34586.11701336165,3350561.668622573,1037596
Gomoku,65611.01004232731,7387425.746132157,1968341
Havannah,28750.955700763447,3464243.7973687085,862536
Hex,131371.8674891419,1.4124341216081161E7,3941168
HopThrough,11648.313706211055,1323319.2682126234,349460
Pente,1647.0026529821105,255859.10763806402,49419
Reversi,10501.465634020173,697430.0801170643,315055
Tic-Tac-Toe,801413.7076854503,6315419.27509131,24042423
Yavalath,288865.6324590596,5667106.476685946,8665979
Yavalax,3951.0003204809273,481212.1406948654,118540
Wolf and Sheep,94917.31485777613,8436604.074878233,2847533
